row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_median,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_median,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_median
402300,2021,009,Benton,MINNESOTA HEALTH CARE PROGRAMS,3,45 to 64 years,F,176,Emergency department,1377,471,2045,170247.32,361.45,234.02,168008.46,356.7,217.18,2238.86,4.75,0.0
428505,2021,151,Swift,COMMERCIAL,2,19 to 44 years,M,320,Clinic/Office,2375,1220,3544,238588.0,195.56,105.11,138260.51,113.32,40.0,100327.49,82.23,29.52
404201,2021,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,15,Outpatient Other,387,329,168,33001.76,100.3,105.09,33001.76,100.3,105.09,0.0,0.0,0.0
428507,2021,151,Swift,COMMERCIAL,2,19 to 44 years,M,46,Emergency department,187,57,502,54836.7,962.04,751.34,28584.52,501.48,58.87,26252.18,460.56,320.52
404203,2021,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,89,Ambulance,1969,960,1034,70777.11,73.72,24.0,70777.11,73.72,24.0,0.0,0.0,0.0
428511,2021,151,Swift,COMMERCIAL,2,19 to 44 years,M,110,Hospital Outpatient,1887,423,1225,499258.69,1180.28,298.45,386617.66,913.98,150.0,112641.03,266.29,0.0
404204,2021,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,93,Ambulatory Surgery,794,154,1076,275834.7,1791.13,865.72,274171.39,1780.33,864.22,1663.31,10.8,0.0
428512,2021,151,Swift,COMMERCIAL,2,19 to 44 years,M,31,Independent Lab,119,49,344,10421.19,212.67,122.16,5758.39,117.51,101.25,4662.8,95.15,0.0
404205,2021,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,2443,Clinic/Office,53032,28194,27610,3849350.17,136.53,85.57,3799429.18,134.76,85.57,49920.99,1.77,0.0
428514,2021,151,Swift,COMMERCIAL,2,19 to 44 years,M,104,Other,429,294,1190,81243.99,276.34,54.58,65855.78,223.99,36.0,15388.21,52.34,0.0
404206,2021,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,213,DME (Durable Medical Equipment),750,616,2394,119750.73,194.4,57.9,119723.15,194.35,57.9,27.58,0.04,0.0
428517,2021,151,Swift,COMMERCIAL,3,45 to 64 years,F,28,Ambulatory Surgery,135,31,327,123770.89,3992.6,3033.79,107077.99,3454.12,2955.54,16692.9,538.48,25.37
404207,2021,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,856,Emergency department,5685,1865,9878,684865.01,367.21,338.42,673686.36,361.22,330.4,11178.65,5.99,0.0
428518,2021,151,Swift,COMMERCIAL,3,45 to 64 years,F,413,Clinic/Office,6688,2905,4629,744462.05,256.26,127.2,513179.43,176.65,50.5,231282.62,79.61,0.0
404459,2021,021,Cass,MEDICARE,2,19 to 44 years,F,30,Independent Lab,377,167,360,20432.0,122.34,99.0,20432.0,122.34,99.0,0.0,0.0,0.0
428519,2021,151,Swift,COMMERCIAL,3,45 to 64 years,F,13,DME (Durable Medical Equipment),64,46,144,8137.26,176.89,84.5,5218.86,113.45,41.0,2918.4,63.44,8.45
404461,2021,021,Cass,MEDICARE,2,19 to 44 years,F,47,Other,380,237,564,29311.36,123.67,98.96,24158.49,101.93,79.17,5152.87,21.74,11.23
431935,2021,169,Winona,MEDICARE,5,75 years and older,M,184,Inpatient Non-acute Professional Services,3077,2337,2008,301776.28,129.12,83.24,256444.92,109.73,67.39,45331.36,19.39,0.0
404464,2021,021,Cass,MEDICARE,2,19 to 44 years,M,62,Clinic/Office,648,367,744,43612.34,118.83,87.71,30028.25,81.82,52.91,13584.09,37.01,18.16
431936,2021,169,Winona,MEDICARE,5,75 years and older,M,871,Other,6055,3360,10205,487472.45,145.08,83.25,438993.93,130.65,82.08,48478.52,14.42,0.0
404466,2021,021,Cass,MEDICARE,2,19 to 44 years,M,20,Emergency department,157,56,237,17631.48,314.84,147.8,15208.68,271.58,129.09,2422.8,43.26,15.15
431937,2021,169,Winona,MEDICARE,5,75 years and older,M,40,Outpatient Other,3542,515,467,299960.85,582.44,289.02,258966.26,502.84,260.9,40994.59,79.6,39.08
404470,2021,021,Cass,MEDICARE,2,19 to 44 years,M,69,Hospital Outpatient,1755,401,825,102313.62,255.14,119.82,73735.59,183.87,85.19,28578.03,71.26,16.64
431939,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,42,Ambulance,492,420,498,24213.66,57.65,22.0,24213.66,57.65,22.0,0.0,0.0,0.0
404471,2021,021,Cass,MEDICARE,2,19 to 44 years,M,19,Independent Lab,184,127,228,10933.22,86.08,114.43,10933.22,86.08,114.43,0.0,0.0,0.0
431940,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,1107,Clinic/Office,14747,7491,12611,1409704.81,188.18,104.08,1409279.81,188.12,104.08,425.0,0.05,0.0
404474,2021,021,Cass,MEDICARE,2,19 to 44 years,M,29,Other,275,149,348,17116.77,114.87,97.7,13720.7,92.08,49.48,3396.07,22.79,16.06
431941,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,24,DME (Durable Medical Equipment),180,99,274,61783.57,624.07,200.49,61783.57,624.07,200.49,0.0,0.0,0.0
404476,2021,021,Cass,MEDICARE,3,45 to 64 years,F,31,Ambulance,135,58,334,58646.91,1011.15,725.7,47693.85,822.3,586.11,10953.06,188.84,145.13
431942,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,344,Emergency department,1445,589,4005,156637.36,265.93,224.16,156637.36,265.93,224.16,0.0,0.0,0.0
404477,2021,021,Cass,MEDICARE,3,45 to 64 years,F,13,Ambulatory Surgery,85,14,156,34364.4,2454.6,1635.2,27708.8,1979.2,1309.55,6655.6,475.4,325.65
431944,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,78,Hospital Inpatient,901,105,729,739943.11,7047.07,3559.55,739943.11,7047.07,3559.55,0.0,0.0,0.0
404478,2021,021,Cass,MEDICARE,3,45 to 64 years,F,220,Clinic/Office,3947,1672,2573,410991.18,245.8,112.48,325719.15,194.8,89.98,85272.03,51.0,21.91
431945,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,76,Hospital Inpatient Professional Services,1029,602,664,103472.52,171.88,85.2,103472.52,171.88,85.2,0.0,0.0,0.0
404479,2021,021,Cass,MEDICARE,3,45 to 64 years,F,64,DME (Durable Medical Equipment),550,287,747,33862.51,117.98,53.45,26328.2,91.73,42.76,7534.31,26.25,14.45
431946,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,1345,Hospital Outpatient,18097,6180,15406,920079.79,148.88,91.52,920009.79,148.86,91.52,70.0,0.01,0.0
404480,2021,021,Cass,MEDICARE,3,45 to 64 years,F,128,Emergency department,1353,365,1455,115869.52,317.45,203.32,96884.17,265.43,171.38,18985.35,52.01,32.8
431947,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,206,Independent Lab,1037,395,2323,39666.26,100.42,99.0,39666.26,100.42,99.0,0.0,0.0,0.0
404481,2021,021,Cass,MEDICARE,3,45 to 64 years,F,16,Home Health,332,111,178,48154.92,433.82,0.0,48154.92,433.82,0.0,0.0,0.0,0.0
431949,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,861,Other,22010,14639,9882,1989496.75,135.9,104.08,1989496.75,135.9,104.08,0.0,0.0,0.0
404483,2021,021,Cass,MEDICARE,3,45 to 64 years,F,58,Hospital Inpatient,1741,102,641,1593973.02,15627.18,9691.02,1486221.96,14570.8,8667.2,107751.06,1056.38,1484.0
431952,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,54,Ambulance,696,651,606,31504.28,48.39,22.0,31504.28,48.39,22.0,0.0,0.0,0.0
404484,2021,021,Cass,MEDICARE,3,45 to 64 years,F,55,Hospital Inpatient Professional Services,1643,489,600,152331.33,311.51,150.44,125685.99,257.02,126.88,26645.34,54.48,27.82
431954,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,1106,Clinic/Office,21819,10300,12726,2441053.77,236.99,135.92,2441053.77,236.99,135.92,0.0,0.0,0.0
404485,2021,021,Cass,MEDICARE,3,45 to 64 years,F,277,Hospital Outpatient,16822,3078,3210,1586905.35,515.56,160.26,1248785.68,405.71,127.47,338119.67,109.85,27.19
431955,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,30,DME (Durable Medical Equipment),147,95,351,39179.25,412.41,53.9,39179.25,412.41,53.9,0.0,0.0,0.0
404486,2021,021,Cass,MEDICARE,3,45 to 64 years,F,88,Independent Lab,886,402,1021,58697.37,146.01,99.0,58225.74,144.84,99.0,471.63,1.17,0.0
431956,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,377,Emergency department,1446,538,4306,161693.87,300.54,263.11,161693.87,300.54,263.11,0.0,0.0,0.0
404489,2021,021,Cass,MEDICARE,3,45 to 64 years,F,145,Other,1725,804,1672,124905.83,155.35,74.09,100585.13,125.1,54.17,24320.7,30.24,10.97
431958,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,69,Hospital Inpatient,814,78,572,466238.41,5977.41,2686.88,466238.41,5977.41,2686.88,0.0,0.0,0.0
404490,2021,021,Cass,MEDICARE,3,45 to 64 years,F,11,Outpatient Other,4130,598,118,288435.93,482.33,21.57,233923.23,391.17,21.57,54512.7,91.15,0.0
431959,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,73,Hospital Inpatient Professional Services,663,385,602,63984.56,166.19,82.41,63984.56,166.19,82.41,0.0,0.0,0.0
404491,2021,021,Cass,MEDICARE,3,45 to 64 years,M,29,Ambulance,244,73,317,67011.38,917.96,695.67,53475.81,732.54,536.94,13535.57,185.41,139.13
431960,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,1432,Hospital Outpatient,17018,5929,16257,1049401.62,176.99,87.61,1049401.62,176.99,87.61,0.0,0.0,0.0
404492,2021,021,Cass,MEDICARE,3,45 to 64 years,M,13,Ambulatory Surgery,79,18,156,19708.27,1094.9,942.0,16042.13,891.22,753.59,3666.14,203.67,174.04
431961,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,190,Independent Lab,857,296,2205,54467.37,184.01,99.0,54467.37,184.01,99.0,0.0,0.0,0.0
404493,2021,021,Cass,MEDICARE,3,45 to 64 years,M,230,Clinic/Office,3318,1499,2724,196501.65,131.08,99.45,150767.97,100.57,71.99,45733.68,30.5,20.0
431964,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,874,Other,32364,22274,10041,3369865.8,151.29,114.18,3369865.8,151.29,114.18,0.0,0.0,0.0
404494,2021,021,Cass,MEDICARE,3,45 to 64 years,M,73,DME (Durable Medical Equipment),825,418,844,106637.94,255.11,79.6,84564.36,202.3,61.44,22073.58,52.8,16.92
431967,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,141,Ambulance,924,730,1593,92834.89,127.17,70.4,92831.39,127.16,70.4,3.5,0.0,0.0
404495,2021,021,Cass,MEDICARE,3,45 to 64 years,M,125,Emergency department,1306,352,1458,121133.77,344.13,190.34,103725.5,294.67,164.69,17408.27,49.45,25.55
431968,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,1564,Clinic/Office,22346,15303,17482,1405515.2,91.84,74.11,1390417.27,90.85,72.59,15097.93,0.98,0.0
404496,2021,021,Cass,MEDICARE,3,45 to 64 years,M,20,Home Health,363,99,232,59359.25,599.58,143.42,59284.23,598.83,143.42,75.02,0.75,0.0
431969,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,100,DME (Durable Medical Equipment),414,339,1178,39503.55,116.52,54.75,39469.6,116.42,54.75,33.95,0.1,0.0
404498,2021,021,Cass,MEDICARE,3,45 to 64 years,M,61,Hospital Inpatient,1599,97,680,1669064.98,17206.85,12487.85,1567473.44,16159.52,11003.85,101591.54,1047.33,1484.0
431970,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,616,Emergency department,4119,1343,7108,459911.03,342.45,282.22,456294.21,339.75,277.38,3616.82,2.69,0.0
404499,2021,021,Cass,MEDICARE,3,45 to 64 years,M,69,Hospital Inpatient Professional Services,1683,560,765,141669.26,252.98,148.19,115735.27,206.67,117.93,25933.99,46.31,26.42
431973,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,168,Hospital Inpatient,2265,198,1943,1011443.31,5108.29,3385.47,1000130.31,5051.16,3385.47,11313.0,57.13,0.0
404500,2021,021,Cass,MEDICARE,3,45 to 64 years,M,315,Hospital Outpatient,14636,3026,3676,1834930.89,606.38,150.59,1426960.95,471.56,120.47,407969.94,134.82,27.69
431974,2021,169,Winona,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,163,Hospital Inpatient Professional Services,1070,562,1877,174023.38,309.65,75.08,173979.88,309.57,75.08,43.5,0.07,0.0
404601,2021,021,Cass,MINNESOTA HEALTH CARE PROGRAMS,2,19 to 44 years,F,240,Hospital Inpatient Professional Services,2333,1214,2782,322806.29,265.9,115.76,322782.29,265.88,115.76,24.0,0.01,0.0
